Date,Actual,Prediction,Residual,Month
2025-11-05,2272,2273.1179742063487,-1.1179742063486628,2025-11
2025-11-04,2270,2271.437718253968,-1.437718253967887,2025-11
2025-11-03,2269,2270.5058730158726,-1.5058730158725666,2025-11
2025-11-02,2277,2275.4119920634917,1.5880079365083475,2025-11
2025-10-30,2287,2284.588511093074,2.4114889069260244,2025-10
2025-10-29,2280,2281.684452380952,-1.684452380951825,2025-10
2025-10-28,2286,2284.696366071429,1.3036339285708891,2025-10
2025-10-27,2282,2281.409511904762,0.5904880952380154,2025-10
2025-10-26,2276,2278.2462343073594,-2.246234307359373,2025-10
2025-10-23,2266,2265.8493690476184,0.15063095238156166,2025-10
2025-10-22,2261,2266.4432499999994,-5.443249999999352,2025-10
2025-10-21,2251,2255.0141666666664,-4.01416666666637,2025-10
2025-10-20,2243,2244.3668333333335,-1.3668333333334886,2025-10
2025-10-19,2237,2238.658648809524,-1.6586488095240384,2025-10
2025-10-16,2233,2234.8959821428575,-1.8959821428575196,2025-10
2025-10-15,2225,2227.6532440476194,-2.6532440476194097,2025-10
2025-10-14,2235,2232.672041666667,2.3279583333328446,2025-10
2025-10-13,2223,2217.8185627289376,5.18143727106235,2025-10
2025-10-09,2192,2204.6839718198476,-12.683971819847557,2025-10
2025-10-08,2192,2194.5800134865144,-2.5800134865144173,2025-10
2025-10-07,2189,2189.777453962704,-0.7774539627039303,2025-10
2025-10-06,2187,2189.30130515318,-2.301305153179783,2025-10
2025-10-05,2180,2181.9412261904763,-1.9412261904763,2025-10
2025-10-02,2164,2173.9180416666663,-9.91804166666634,2025-10
2025-10-01,2163,2164.7375178571424,-1.737517857142393,2025-10
2025-09-30,2159,2160.477648809524,-1.4776488095239984,2025-09
2025-09-29,2148,2150.387113095238,-2.3871130952379644,2025-09
2025-09-28,2146,2144.141696428571,1.8583035714291327,2025-09
2025-09-25,2132,2135.1904265873013,-3.1904265873013173,2025-09
2025-09-24,2138,2141.214712301587,-3.214712301587042,2025-09
2025-09-23,2145,2145.2447718253966,-0.24477182539658315,2025-09
2025-09-22,2141,2141.8120813492064,-0.8120813492064372,2025-09
2025-09-21,2134,2136.186117063492,-2.18611706349202,2025-09
2025-09-18,2096,2106.2535476190474,-10.253547619047367,2025-09
2025-09-17,2096,2097.4371666666666,-1.4371666666665988,2025-09
2025-09-16,2095,2096.590583333333,-1.590583333333143,2025-09
2025-09-15,2086,2089.5606666666667,-3.560666666666748,2025-09
2025-09-14,2083,2085.4428095238095,-2.442809523809501,2025-09
2025-09-11,2047,2061.137809523809,-14.13780952380921,2025-09
2025-09-10,2025,2031.5998452380957,-6.599845238095668,2025-09
2025-09-09,2023,2024.3216785714287,-1.3216785714287198,2025-09
2025-09-08,2025,2023.7673452380957,1.232654761904314,2025-09
2025-09-07,2026,2024.2660952380957,1.7339047619043413,2025-09
2025-09-04,2015,2017.9179166666665,-2.9179166666665424,2025-09
2025-09-03,2019,2019.8329166666672,-0.8329166666671881,2025-09
2025-09-02,2020,2017.5508333333337,2.449166666666315,2025-09
2025-09-01,2010,2011.0792499999998,-1.0792499999997744,2025-09
2025-08-28,1984,1988.275446428572,-4.275446428571968,2025-08
2025-08-27,1988,1987.7370952380952,0.2629047619047924,2025-08
2025-08-26,1989,1987.3789285714288,1.621071428571213,2025-08
2025-08-25,1980,1982.3758869047617,-2.375886904761728,2025-08
2025-08-24,1981,1982.8306250000003,-1.830625000000282,2025-08
2025-08-21,1972,1976.742916666667,-4.742916666667043,2025-08
2025-08-20,1983,1983.1156130952381,-0.11561309523813179,2025-08
2025-08-19,1980,1981.4514464285717,-1.4514464285716713,2025-08
2025-08-18,1985,1985.4911964285714,-0.4911964285713566,2025-08
2025-08-17,1991,1989.4908333333335,1.5091666666664878,2025-08
2025-08-14,1994,1994.395416666667,-0.39541666666696074,2025-08
2025-08-13,1997,1996.5139166666665,0.486083333333454,2025-08
2025-08-12,1999,2001.2081666666666,-2.208166666666557,2025-08
2025-08-11,1999,1998.88525,0.11474999999995816,2025-08
2025-08-10,2006,2003.474,2.5260000000000673,2025-08
2025-08-07,2031,2028.0615,2.9384999999999764,2025-08
2025-08-06,2036,2033.9490000000003,2.0509999999997035,2025-08
2025-08-05,2042,2039.6035000000002,2.3964999999998327,2025-08
2025-08-04,2040,2039.48,0.5199999999999818,2025-08
2025-08-03,2049,2046.1,2.900000000000091,2025-08
2025-07-31,2058,2051.9420833333334,6.057916666666642,2025-07
2025-07-30,2063,2062.595,0.4050000000002001,2025-07
2025-07-29,2072,2067.0891666666666,4.910833333333358,2025-07
2025-07-28,2080,2075.9511428571427,4.048857142857287,2025-07
2025-07-27,2088,2087.522226190476,0.4777738095240238,2025-07
2025-07-24,2096,2093.6525,2.3474999999998545,2025-07
2025-07-23,2111,2105.3664256576753,5.633574342324664,2025-07
2025-07-22,2117,2113.797723276723,3.2022767232770093,2025-07
2025-07-21,2121,2117.122508991009,3.877491008991001,2025-07
2025-07-17,2153,2148.938452380952,4.061547619047815,2025-07
2025-07-16,2164,2159.356851190476,4.643148809524064,2025-07
2025-07-15,2171,2166.3607023809523,4.639297619047738,2025-07
2025-07-14,2181,2173.4038095238093,7.5961904761907135,2025-07
2025-07-13,2204,2196.339488095238,7.660511904762188,2025-07
2025-07-10,2252,2241.5383333333334,10.461666666666588,2025-07
2025-07-09,2281,2275.0831567460314,5.916843253968636,2025-07
2025-07-08,2306,2304.4074875541132,1.5925124458867685,2025-07
2025-07-07,2317,2313.1877142857147,3.812285714285281,2025-07
2025-07-06,2332,2323.039083333333,8.96091666666689,2025-07
2025-07-02,2373,2372.1696666666667,0.8303333333333285,2025-07
2025-07-01,2391,2386.3808452380945,4.61915476190552,2025-07
2025-06-30,2407,2406.415083333333,0.5849166666671408,2025-06
2025-06-29,2413,2413.1607301587296,-0.1607301587296206,2025-06
2025-06-26,2447,2436.338333333333,10.66166666666686,2025-06
2025-06-25,2470,2465.2757500000002,4.724249999999756,2025-06
2025-06-24,2489,2487.446972222222,1.5530277777779702,2025-06
2025-06-23,2495,2495.08483531746,-0.08483531746014705,2025-06
2025-06-22,2508,2505.6885039682543,2.311496031745719,2025-06
2025-06-19,2501,2502.687420634921,-1.6874206349211818,2025-06
2025-06-17,2523,2518.818311507936,4.1816884920640405,2025-06
2025-06-10,2511,2510.474713383838,0.5252866161617931,2025-06
2025-06-09,2516,2514.960766594516,1.039233405484083,2025-06
2025-06-08,2507,2508.1054781746034,-1.1054781746033768,2025-06
2025-06-05,2503,2503.98198015873,-0.981980158730039,2025-06
2025-06-04,2516,2514.670588023088,1.3294119769120698,2025-06
2025-06-03,2519,2517.819802308802,1.1801976911979182,2025-06
2025-06-02,2518,2515.857607864358,2.142392135641785,2025-06
2025-06-01,2528,2525.67189484127,2.328105158730068,2025-06
2025-05-29,2506,2508.0254742063494,-2.0254742063493723,2025-05
2025-05-28,2499,2502.9179653679653,-3.91796536796528,2025-05
2025-05-27,2504,2502.27462012987,1.7253798701299274,2025-05
2025-05-22,2473,2484.302869047619,-11.30286904761897,2025-05
2025-05-21,2467,2480.4792222222222,-13.479222222222234,2025-05
2025-05-19,2457,2464.20125,-7.201250000000073,2025-05
2025-05-18,2437,2452.9157936507936,-15.915793650793603,2025-05
2025-05-15,2410,2413.374686507936,-3.374686507936076,2025-05
2025-05-14,2394,2396.182083333333,-2.1820833333331393,2025-05
2025-05-13,2394,2394.215333333333,-0.21533333333309201,2025-05
2025-05-12,2392,2393.1508452380945,-1.1508452380944618,2025-05
2025-05-11,2385,2387.6319999999996,-2.631999999999607,2025-05
2025-05-08,2361,2363.962261904762,-2.9622619047618173,2025-05
2025-05-07,2335,2337.9625,-2.962500000000091,2025-05
2025-05-06,2339,2337.785,1.2150000000001455,2025-05
2025-05-05,2331,2333.95,-2.949999999999818,2025-05
2025-05-04,2335,2333.97925,1.0207500000001346,2025-05
2025-05-01,2306,2309.861989718615,-3.86198971861495,2025-05
2025-04-30,2309,2307.2379202741704,1.762079725829608,2025-04
2025-04-29,2304,2304.568,-0.568000000000211,2025-04
2025-04-28,2307,2306.3038468614727,0.6961531385272792,2025-04
2025-04-27,2301,2319.466327380953,-18.466327380952862,2025-04
2025-04-24,2294,2288.1935,5.806500000000142,2025-04
2025-04-23,2300,2301.407,-1.4070000000001528,2025-04
2025-04-22,2305,2304.7629595959597,0.23704040404027182,2025-04
2025-04-21,2308,2306.2054163059165,1.7945836940834852,2025-04
2025-04-20,2305,2301.417777777778,3.5822222222218443,2025-04
2025-04-17,2288,2287.000463293651,0.9995367063488629,2025-04
2025-04-16,2291,2294.842932539683,-3.8429325396828062,2025-04
2025-04-15,2286,2302.9816001984127,-16.981600198412707,2025-04
2025-04-14,2282,2282.6108869047616,-0.6108869047616281,2025-04
2025-04-13,2283,2282.998374007937,0.001625992063054582,2025-04
2025-04-11,2267,2268.2138214285715,-1.213821428571464,2025-04
2025-04-10,2265,2263.8992857142857,1.1007142857142753,2025-04
2025-04-09,2251,2249.7068333333336,1.293166666666366,2025-04
2025-04-08,2243,2242.2381904761905,0.7618095238094611,2025-04
2025-04-07,2237,2236.9255654761905,0.07443452380948656,2025-04
2025-04-06,2234,2228.672023809524,5.327976190475965,2025-04
2025-04-03,2223,2223.035226190476,-0.035226190475896146,2025-04
2025-04-02,2208,2205.476428571428,2.523571428571813,2025-04
2025-04-01,2191,2193.857513486514,-2.857513486514108,2025-04
2025-03-31,2193,2191.995596819847,1.0044031801530764,2025-03
2025-03-30,2188,2184.5783825341323,3.421617465867712,2025-03
2025-03-27,2159,2161.9099107142856,-2.9099107142856155,2025-03
2025-03-26,2159,2157.0161011904765,1.9838988095234527,2025-03
2025-03-25,2145,2146.2786904761906,-1.2786904761906044,2025-03
2025-03-24,2139,2133.5162878510373,5.483712148962695,2025-03
2025-03-23,2136,2138.5474384920635,-2.5474384920635202,2025-03
2025-03-20,2124,2121.8930833333325,2.10691666666753,2025-03
2025-03-19,2119,2119.4225109751355,-0.4225109751355376,2025-03
2025-03-18,2109,2112.071095238095,-3.0710952380950403,2025-03
2025-03-17,2111,2112.070236263736,-1.0702362637362057,2025-03
2025-03-16,2117,2116.4039395465647,0.5960604534352569,2025-03
2025-03-13,2116,2116.4238145465647,-0.4238145465646994,2025-03
2025-03-12,2113,2113.031343406593,-0.03134340659289592,2025-03
2025-03-11,2116,2116.0547252608503,-0.05472526085031859,2025-03
2025-03-10,2125,2126.1290833333337,-1.1290833333337105,2025-03
2025-03-09,2137,2136.2920337301584,0.7079662698415632,2025-03
2025-03-06,2218,2199.28075,18.719250000000102,2025-03
2025-03-05,2238,2234.338065476191,3.6619345238091228,2025-03
2025-03-04,2272,2265.727027777778,6.272972222222052,2025-03
2025-03-03,2287,2281.7863581349216,5.2136418650784435,2025-03
2025-03-02,2297,2295.882543650794,1.117456349205895,2025-03
2025-02-27,2391,2389.291488095237,1.7085119047628723,2025-02
2025-02-26,2411,2407.6817301587294,3.3182698412706486,2025-02
2025-02-25,2413,2406.549714285714,6.45028571428611,2025-02
2025-02-24,2413,2416.4228968253965,-3.422896825396492,2025-02
2025-02-23,2423,2419.833988095238,3.1660119047619446,2025-02
2025-02-20,2520,2505.1082397186146,14.89176028138536,2025-02
2025-02-19,2528,2525.902630952381,2.0973690476189404,2025-02
2025-02-18,2536,2532.717190476191,3.282809523809192,2025-02
2025-02-17,2532,2534.8471904761905,-2.8471904761904625,2025-02
2025-02-13,2703,2715.9711904761907,-12.971190476190714,2025-02
2025-02-12,2752,2745.435,6.565000000000055,2025-02
2025-02-11,2799,2774.078333333334,24.92166666666617,2025-02
2025-02-10,2834,2827.035,6.9650000000001455,2025-02
2025-02-09,2878,2896.14,-18.139999999999873,2025-02
2025-02-06,3181,3142.865,38.13500000000022,2025-02
2025-02-05,3290,3267.725,22.27500000000009,2025-02
2025-02-04,3359,3353.585,5.414999999999964,2025-02
2025-02-03,3403,3414.04,-11.039999999999964,2025-02
2025-02-02,3483,3494.54,-11.539999999999964,2025-02
2025-01-30,3923,3922.29,0.7100000000000364,2025-01
2025-01-29,4036,4027.55,8.449999999999818,2025-01
